insert,2,21
insert,4,28
insert,8,33
insert,16,38
insert,32,48
insert,64,104
insert,128,141734
insert,256,254888
insert,512,479770
insert,1024,1032577
insert,2048,1955358
insert,4096,4209449
insert,8192,15527906
insert,16384,36991524
update,2,4988686
update,4,4988689
update,8,4988692
update,16,4988697
update,32,4988707
update,64,5258669
update,128,5261639
update,256,5273646
update,512,5308465
update,1024,5533871
update,2048,5756931
update,4096,6409637
update,8192,7937093
update,16384,10365142
queries,0,0
queries,100,11816959
queries,200,18680729
queries,300,24966613
queries,400,31775567
queries,500,35286980
queries,600,41494322
queries,700,45347344
queries,800,49024929
queries,900,52466269
queries,1000,55800516
queries,1100,58171625
queries,1200,60666157
queries,1300,62686495
queries,1400,64513534
queries,1500,66176480
queries,1600,68173496
queries,1700,69995840
queries,1800,71367338
queries,1900,72696174
queries,2000,74272731
queries,2100,76156055
queries,2200,77946725
queries,2300,79584647
queries,2400,80998984
queries,2500,83011030
queries,2600,84581468
queries,2700,85961380
queries,2800,87312077
queries,2900,88525975
queries,3000,89515884
queries,3100,90536699
queries,3200,91537408
queries,3300,92698468
queries,3400,93847137
queries,3500,95165879
queries,3600,96569330
queries,3700,97565951
queries,3800,98748103
queries,3900,99971232
queries,4000,101503541
queries,4100,102982386
queries,4200,104939099
queries,4300,106316518
queries,4400,107948764
queries,4500,109107047
queries,4600,110388047
queries,4700,111479517
queries,4800,112915801
queries,4900,114423653
queries,5000,115771755
queries,5100,117149084
queries,5200,118146877
queries,5300,119267217
queries,5400,120326391
queries,5500,121095875
queries,5600,122280574
queries,5700,123333270
queries,5800,124198863
queries,5900,125037305
queries,6000,126216039
queries,6100,127601350
queries,6200,129521470
queries,6300,130833468
queries,6400,133757947
queries,6500,135708549
queries,6600,139125627
queries,6700,141602031
queries,6800,143554276
queries,6900,145739060
queries,7000,147757904
queries,7100,150402818
queries,7200,151892059
queries,7300,154101953
queries,7400,156664249
queries,7500,160095898
queries,7600,163333755
queries,7700,166858754
queries,7800,170222174
queries,7900,173903957
queries,8000,176247183
queries,8100,178579946
queries,8200,180894765
queries,8300,182460924
queries,8400,184002948
queries,8500,185574589
queries,8600,187688088
queries,8700,193044648
queries,8800,196016197
queries,8900,200548146
queries,9000,204360920
queries,9100,210234439
queries,9200,216697507
queries,9300,220899621
queries,9400,226091835
queries,9500,230641881
queries,9600,234892212
queries,9700,239090658
queries,9800,244323021
queries,9900,248907231
queries,10000,251911364
full scan,1024,69559
full scan,2048,635022
full scan,3072,830441
full scan,4096,1938621
full scan,5120,2375274
full scan,6144,2442822
full scan,7168,2989158
full scan,8192,3398866
full scan,9216,3656842
full scan,10240,4003700
full scan,11264,4217594
full scan,12288,4236349
full scan,13312,4774007
full scan,14336,5066758
full scan,15360,5614356
full scan,16384,6153724
full scan,16384,6153727
delete,2,6
delete,4,9
delete,8,13
delete,16,20
delete,32,33
delete,64,1099
delete,128,6296
delete,256,17199
delete,512,55548
delete,1024,143627
delete,2048,447375
delete,4096,1066708
delete,8192,2412899
delete,16384,4951513
